career_AST,career_FG%,career_FG3%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,height,weight,age
0.3,50.2,0.0,256.0,13.0,5.7,3.3,4.8,50.2,82.0,240.0,22.0
0.3,50.2,0.0,256.0,13.0,5.7,3.3,4.8,50.2,82.0,240.0,23.0
0.3,50.2,0.0,256.0,13.0,5.7,3.3,4.8,50.2,82.0,240.0,24.0
0.3,50.2,0.0,256.0,13.0,5.7,3.3,4.8,50.2,82.0,240.0,25.0
0.3,50.2,0.0,256.0,13.0,5.7,3.3,4.8,50.2,82.0,240.0,26.0
3.6,55.9,5.6,1560.0,24.6,24.6,11.2,273.4,55.9,86.0,225.0,37.0
3.6,55.9,5.6,1560.0,24.6,24.6,11.2,273.4,55.9,86.0,225.0,38.0
3.6,55.9,5.6,1560.0,24.6,24.6,11.2,273.4,55.9,86.0,225.0,40.0
3.6,55.9,5.6,1560.0,24.6,24.6,11.2,273.4,55.9,86.0,225.0,41.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,21.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,22.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,23.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,24.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,25.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,26.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,27.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,28.0
3.5,44.2,35.4,586.0,15.4,14.6,1.9,25.2,47.2,73.0,162.0,31.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,23.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,24.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,25.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,26.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,27.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,28.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,29.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,30.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,31.0
1.1,41.7,23.7,236.0,11.4,7.8,3.3,3.5,42.2,78.0,223.0,32.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,20.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,23.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,24.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,25.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,26.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,27.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,28.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,29.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,30.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,31.0
2.5,47.2,29.7,830.0,19.0,18.1,7.5,71.2,47.9,81.0,225.0,33.0
0.5,38.7,36.8,174.0,8.8,5.3,1.4,5.0,52.5,78.0,200.0,23.0
0.5,38.7,36.8,174.0,8.8,5.3,1.4,5.0,52.5,78.0,200.0,24.0
0.5,37.0,32.0,30.0,8.5,2.7,1.0,-0.2,41.3,77.0,185.0,22.0
0.5,37.0,32.0,30.0,8.5,2.7,1.0,-0.2,41.3,77.0,185.0,23.0
0.5,37.0,32.0,30.0,8.5,2.7,1.0,-0.2,41.3,77.0,185.0,25.0
0.5,50.6,53.8,375.0,9.0,3.6,4.1,9.3,50.9,83.0,220.0,25.0
0.5,50.6,53.8,375.0,9.0,3.6,4.1,9.3,50.9,83.0,220.0,26.0
0.5,50.6,53.8,375.0,9.0,3.6,4.1,9.3,50.9,83.0,220.0,28.0
0.5,50.6,53.8,375.0,9.0,3.6,4.1,9.3,50.9,83.0,220.0,29.0
0.5,50.6,53.8,375.0,9.0,3.6,4.1,9.3,50.9,83.0,220.0,30.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,22.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,23.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,24.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,25.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,26.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,26.0
0.6,44.4,35.0,337.0,11.2,4.9,3.5,8.7,51.3,79.0,240.0,27.0
4.1,49.8,13.3,988.0,18.3,14.1,7.0,73.5,49.8,81.0,210.0,30.0
4.1,49.8,13.3,988.0,18.3,14.1,7.0,73.5,49.8,81.0,210.0,31.0
4.1,49.8,13.3,988.0,18.3,14.1,7.0,73.5,49.8,81.0,210.0,33.0
0.2,53.4,0.0,73.0,11.8,2.5,1.2,0.8,53.4,76.0,220.0,22.0
0.2,53.4,0.0,73.0,11.8,2.5,1.2,0.8,53.4,76.0,220.0,24.0
0.6,40.2,38.5,32.0,13.1,3.2,0.9,0.4,45.7,77.0,209.0,20.0
0.6,40.2,38.5,32.0,13.1,3.2,0.9,0.4,45.7,77.0,209.0,21.0
0.6,40.2,38.5,32.0,13.1,3.2,0.9,0.4,45.7,77.0,209.0,22.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,22.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,24.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,25.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,27.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,28.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,29.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,30.0
6.4,41.5,33.2,653.0,16.6,14.7,2.9,46.9,47.5,70.0,162.0,31.0
1.0,58.8,0.0,467.0,16.7,9.7,7.4,38.7,58.8,84.0,265.0,20.0
1.0,58.8,0.0,467.0,16.7,9.7,7.4,38.7,58.8,84.0,265.0,21.0
1.0,58.8,0.0,467.0,16.7,9.7,7.4,38.7,58.8,84.0,265.0,22.0
1.0,58.8,0.0,467.0,16.7,9.7,7.4,38.7,58.8,84.0,265.0,23.0
1.0,58.8,0.0,467.0,16.7,9.7,7.4,38.7,58.8,84.0,265.0,24.0
0.9,44.9,28.2,379.0,10.5,5.8,2.1,4.9,46.6,79.0,215.0,27.0
0.9,44.9,28.2,379.0,10.5,5.8,2.1,4.9,46.6,79.0,215.0,28.0
0.9,44.9,28.2,379.0,10.5,5.8,2.1,4.9,46.6,79.0,215.0,30.0
0.9,44.9,28.2,379.0,10.5,5.8,2.1,4.9,46.6,79.0,215.0,31.0
0.9,44.9,28.2,379.0,10.5,5.8,2.1,4.9,46.6,79.0,215.0,32.0
1.9,55.0,13.6,151.0,17.0,8.0,6.5,11.0,55.1,82.0,255.0,20.0
0.7,47.4,0.0,153.0,15.0,4.6,4.3,4.4,47.4,79.0,245.0,24.0
0.7,47.4,0.0,153.0,15.0,4.6,4.3,4.4,47.4,79.0,245.0,25.0
0.7,47.4,0.0,153.0,15.0,4.6,4.3,4.4,47.4,79.0,245.0,26.0
0.7,47.4,0.0,153.0,15.0,4.6,4.3,4.4,47.4,79.0,245.0,27.0
